"Date","Clicks","Impressions","CTR","Position"
"2026-06-29","0","0","",""
"2026-06-30","0","0","",""
"2026-07-01","0","3","0%","27"
"2026-07-02","0","1","0%","74"
"2026-07-03","0","0","",""
"2026-07-04","0","2","0%","52"
"2026-07-05","1","47","2.13%","73.1"
"2026-07-06","0","36","0%","69.3"
"2026-07-07","0","73","0%","69.4"
"2026-07-08","0","99","0%","65.9"
"2026-07-09","0","139","0%","73"
"2026-07-10","0","231","0%","67.9"
"2026-07-11","0","186","0%","60"
"2026-07-12","0","260","0%","66.3"
"2026-07-13","0","335","0%","64.3"
"2026-07-14","0","587","0%","67.3"
"2026-07-15","0","398","0%","67.9"
"2026-07-16","0","229","0%","69.7"
"2026-07-17","0","191","0%","69"
"2026-07-18","0","85","0%","62.9"
"2026-07-19","0","179","0%","71.2"
"2026-07-20","0","160","0%","55.5"
"2026-07-21","1","108","0.93%","72.5"
"2026-07-22","0","167","0%","72.7"
"2026-07-23","0","140","0%","70.2"
"2026-07-24","0","157","0%","73.1"
"2026-07-25","1","102","0.98%","62.5"
"2026-07-26","0","129","0%","69.5"
"2026-07-27","0","111","0%","61.6"
"2026-07-28","1","222","0.45%","55.4"
"2026-07-29","0","238","0%","50.3"
