"Country","Clicks","Impressions","CTR","Position"
"Canada","1","120","0.83%","62.9"
"Pakistan","1","62","1.61%","41.98"
"Switzerland","1","5","20%","57.6"
"Lithuania","1","3","33.33%","10.67"
"United States","0","1931","0%","68.51"
"United Kingdom","0","614","0%","73.35"
"India","0","336","0%","68.14"
"Australia","0","264","0%","65.29"
"Philippines","0","170","0%","67.15"
"Netherlands","0","127","0%","65.06"
"Germany","0","99","0%","58.58"
"New Zealand","0","83","0%","61.6"
"Spain","0","69","0%","66.55"
"Malaysia","0","63","0%","61.35"
"United Arab Emirates","0","62","0%","60.98"
"Vietnam","0","53","0%","35.04"
"Saudi Arabia","0","47","0%","60.57"
"Indonesia","0","43","0%","48.3"
"Sweden","0","37","0%","70.68"
"Ireland","0","30","0%","82.53"
"South Africa","0","29","0%","70.03"
"Mexico","0","25","0%","40.04"
"Brazil","0","24","0%","53.38"
"Belgium","0","24","0%","63.67"
"Bangladesh","0","22","0%","46.45"
"Russia","0","17","0%","35.41"
"France","0","17","0%","58.76"
"Singapore","0","17","0%","64.41"
"Morocco","0","15","0%","39.73"
"Japan","0","13","0%","50.77"
"Egypt","0","13","0%","66.77"
"Ukraine","0","11","0%","60.55"
"Thailand","0","10","0%","50"
"Jordan","0","9","0%","39.11"
"Turkey","0","9","0%","49.33"
"Romania","0","9","0%","68.33"
"Nigeria","0","8","0%","57.5"
"Denmark","0","8","0%","67.38"
"Algeria","0","7","0%","29.14"
"Greece","0","7","0%","66"
"Iraq","0","6","0%","39.33"
"Israel","0","6","0%","52.67"
"Italy","0","6","0%","61.67"
"Trinidad & Tobago","0","5","0%","48.6"
"Colombia","0","5","0%","50"
"Austria","0","4","0%","61.25"
"Taiwan","0","3","0%","19"
"Kenya","0","3","0%","43.33"
"Poland","0","3","0%","85"
"Qatar","0","3","0%","90"
"Uganda","0","2","0%","2"
"Latvia","0","2","0%","6"
"Mozambique","0","2","0%","29.5"
"Hong Kong","0","2","0%","33"
"Iran","0","2","0%","34.5"
"Portugal","0","2","0%","37.5"
"Georgia","0","2","0%","40.5"
"Ecuador","0","2","0%","41.5"
"Guatemala","0","2","0%","44.5"
"Norway","0","2","0%","49.5"
"Argentina","0","2","0%","57"
"Kuwait","0","2","0%","66.5"
"Ghana","0","2","0%","83.5"
"Sri Lanka","0","2","0%","84.5"
"Bahrain","0","2","0%","87.5"
"Bahamas","0","2","0%","90"
"Bosnia & Herzegovina","0","1","0%","2"
"Tunisia","0","1","0%","4"
"Nepal","0","1","0%","7"
"Puerto Rico","0","1","0%","8"
"Palestine","0","1","0%","9"
"South Korea","0","1","0%","15"
"Kazakhstan","0","1","0%","17"
"Chile","0","1","0%","26"
"Serbia","0","1","0%","47"
"Uruguay","0","1","0%","47"
"Panama","0","1","0%","49"
"Honduras","0","1","0%","50"
"Paraguay","0","1","0%","50"
"Ethiopia","0","1","0%","56"
"Malta","0","1","0%","59"
"Montenegro","0","1","0%","63"
"Afghanistan","0","1","0%","66"
"Hungary","0","1","0%","68"
"Armenia","0","1","0%","70"
"Luxembourg","0","1","0%","72"
"Jamaica","0","1","0%","76"
"Congo - Kinshasa","0","1","0%","80"
"Albania","0","1","0%","85"
"Cameroon","0","1","0%","85"
"Botswana","0","1","0%","86"
"Guyana","0","1","0%","93"
"Namibia","0","1","0%","97"
